1:1|After Ahab’s death, Moab rebelled against Israel.|Retains the immediate political consequence.
20:3|“Please, LORD, remember how I have walked before you faithfully and with a whole heart, and have done what is good in your eyes.” Hezekiah wept bitterly.|Keep the king’s own assessment and intense weeping.
20:4|Before Isaiah had left the middle courtyard, the LORD’s word came to him:|Follow courtyard in the read tradition, noting written city.
20:5|“Go back and tell Hezekiah, the leader of my people: This is what the LORD, the God of your ancestor David, says: I have heard your prayer and seen your tears. I am healing you. On the third day you will go up to the LORD’s house.|Retain heard/seen, David, and third-day promise.
20:6|I will add fifteen years to your life. I will rescue you and this city from the king of Assyria’s hand. I will defend this city for my own sake and for the sake of David my servant.”|Keep the exact extension and repeated defense formula.
20:7|Isaiah said, “Bring a cake of figs.” They brought it, applied it to the boil, and he recovered.|Retain the treatment without making modern medical claims.
20:8|Hezekiah asked Isaiah, “What is the sign that the LORD will heal me and that I will go up to the LORD’s house on the third day?”|Preserve the narrative’s return to the sign request after the recovery notice.
20:9|Isaiah answered, “This is your sign from the LORD that he will do what he has promised: Shall the shadow move forward ten steps, or go back ten steps?”|Keep steps rather than imposing a sundial mechanism.
20:10|Hezekiah said, “It is easy for the shadow to move forward ten steps. No—let it go back ten steps.”|Retain the chosen direction and repeated ten.
20:11|Isaiah the prophet called to the LORD, and he brought the shadow back ten steps on the steps of Ahaz, down which it had gone.|Keep the phenomenon’s description without astronomical explanation.
20:12|At that time Berodach-baladan son of Baladan, king of Babylon, sent letters and a gift to Hezekiah, because he had heard that Hezekiah was ill.|Retain the pinned Berodach name rather than harmonizing Isaiah.
20:13|Hezekiah listened to them and showed them his entire treasure house—the silver, gold, spices, fine oil, his armory, and everything found in his treasuries. There was nothing in his house or in all his domain that Hezekiah did not show them.|Follow listened in Kings and preserve the full inventory.
20:14|Then Isaiah the prophet came to King Hezekiah and asked, “What did these men say, and where did they come from?” Hezekiah answered, “They came from a distant land—from Babylon.”|Keep both questions and the partial answer.
20:15|Isaiah asked, “What did they see in your house?” Hezekiah said, “They saw everything in my house. There was nothing in my treasuries that I did not show them.”|Repeat the comprehensive disclosure.
20:16|Isaiah said to Hezekiah, “Hear the LORD’s word:|Retain the oracle introduction.
20:17|The days are coming when everything in your house, and everything your ancestors have stored up until today, will be carried to Babylon. Nothing will be left, says the LORD.|Keep the total loss and destination.
20:18|Some of your own sons, born from you, will be taken away and become eunuchs in the palace of the king of Babylon.”|Preserve bodily and dynastic implications; note broader official sense of saris.
20:19|Hezekiah said to Isaiah, “The LORD’s word you have spoken is good.” He added, “Will there not be peace and stability in my days?”|Keep his response without declaring its motive selfish or faithful.
20:20|The rest of Hezekiah’s acts, all his might, and how he built the pool and channel and brought water into the city are written in the annals of the kings of Judah.|Retain the water works in the source notice.
20:21|Hezekiah rested with his ancestors. His son Manasseh became king in his place.|Keep the succession without adding burial details.
21:1|Manasseh was twelve years old when he became king, and he reigned in Jerusalem for fifty-five years. His mother’s name was Hephzibah.|Retain the young accession and long reign.
21:2|He did what was evil in the LORD’s eyes, following the abhorrent practices of the nations the LORD had driven out before the Israelites.|Keep the narrator’s comparison.
21:3|He rebuilt the high places his father Hezekiah had destroyed, erected altars for Baal, and made an Asherah as Ahab king of Israel had done. He bowed to all the army of heaven and served them.|Preserve reversal of reform and all worship objects.
21:4|He built altars in the LORD’s house, of which the LORD had said, “In Jerusalem I will place my name.”|Keep the name promise beside the contrary action.
21:5|He built altars to all the army of heaven in both courtyards of the LORD’s house.|Retain both courts and heavenly army.
21:6|He made his son pass through the fire, practiced soothsaying and read omens, and dealt with mediums and spiritists. He did much that was evil in the LORD’s eyes, provoking him to anger.|Preserve the distinct practices and the son’s fire rite.
21:7|He placed the carved Asherah image he had made in the house about which the LORD had told David and his son Solomon, “In this house and in Jerusalem, which I chose from all Israel’s tribes, I will place my name forever.|Retain the carved image and full promise setting.
21:8|I will no longer make Israel’s feet wander from the land I gave their ancestors, if only they carefully do everything I commanded them, following all the instruction my servant Moses gave them.”|Keep the feet image and explicit condition.
21:9|But they would not listen. Manasseh led them astray to do more evil than the nations the LORD had destroyed before the Israelites.|Preserve the comparative judgment rather than moderating it.
21:10|The LORD spoke through his servants the prophets:|Keep the plural unnamed prophets.
21:11|“Because Manasseh king of Judah has committed these abhorrent acts, doing more evil than all the Amorites before him and also leading Judah into sin with his idols,|Retain both personal action and influence on Judah.
21:12|this is what the LORD, the God of Israel, says: I am bringing such disaster on Jerusalem and Judah that both ears of everyone who hears of it will ring.|Preserve the bodily shock image.
21:13|I will stretch over Jerusalem the measuring line used on Samaria and the plumb line used on Ahab’s house. I will wipe Jerusalem as someone wipes a dish, wiping it and turning it upside down.|Keep both building instruments and every part of the dish image.
21:14|I will abandon the remnant of my inheritance and hand them over to their enemies. They will become plunder and spoil for all their enemies,|Preserve inheritance and paired plunder language.
21:15|because they have done what is evil in my eyes and have provoked me from the day their ancestors came out of Egypt until today.”|Retain the full historical span.
21:16|Manasseh also shed so much innocent blood that he filled Jerusalem from end to end, besides the sin he led Judah to commit by doing what was evil in the LORD’s eyes.|Keep bloodshed as an additional wrong, not merely an idol metaphor.
21:17|The rest of Manasseh’s acts, everything he did, and the sin he committed are written in the annals of the kings of Judah.|Preserve sin in the record notice.
21:18|Manasseh rested with his ancestors and was buried in the garden of his house, the Garden of Uzza. His son Amon became king in his place.|Keep the distinct burial site.
21:19|Amon was twenty-two years old when he became king, and he reigned in Jerusalem for two years. His mother’s name was Meshullemeth, daughter of Haruz, from Jotbah.|Preserve all numerical and maternal details.
21:20|He did what was evil in the LORD’s eyes, as his father Manasseh had done.|Keep the immediate father comparison.
21:21|He followed his father’s whole way of life, serving the idols his father had served and bowing to them.|Retain the repeated father and service language.
21:22|He abandoned the LORD, the God of his ancestors, and did not walk in the LORD’s way.|Keep the walking image alongside abandonment.
21:23|Amon’s servants conspired against him and killed the king in his own house.|Preserve the killers’ relationship and location.
21:24|The people of the land struck down everyone who had conspired against King Amon. Then they made his son Josiah king in his place.|Keep popular intervention and succession.
21:25|The rest of Amon’s acts are written in the annals of the kings of Judah.|Retain the record notice.
21:26|He was buried in his tomb in the Garden of Uzza. His son Josiah became king in his place.|Preserve the repeated succession notice.
22:1|Josiah was eight years old when he became king, and he reigned in Jerusalem for thirty-one years. His mother’s name was Jedidah, daughter of Adaiah, from Bozkath.|Keep all accession and maternal details.
22:2|He did what was right in the LORD’s eyes and walked in all the ways of his ancestor David, turning aside neither to the right nor to the left.|Preserve the directional image of obedience.
22:3|In King Josiah’s eighteenth year, the king sent Shaphan the secretary, son of Azaliah, son of Meshullam, to the LORD’s house with this command:|Keep the date and three-generation identification.
22:4|“Go up to Hilkiah the high priest and have him total the money brought into the LORD’s house, which the threshold guards have collected from the people.|Preserve the accounting instruction and collection chain.
22:5|Let them put it into the hands of those supervising the work on the LORD’s house, who are to pay the workers repairing the damage to the house—|Keep supervisors distinct from workers.
22:6|the carpenters, builders, and masons—and buy timber and dressed stone to repair the house.|Retain trades and materials.
22:7|But no accounting is to be required from them for the money entrusted to them, because they act faithfully.”|Echo the earlier repair account without turning it into general advice.
22:8|Hilkiah the high priest told Shaphan the secretary, “I have found the Book of the Instruction in the LORD’s house.” Hilkiah gave the book to Shaphan, and he read it.|Retain Torah’s book title without identifying an exact modern extent.
22:9|Shaphan the secretary came to the king and reported, “Your servants have emptied out the money found in the house and given it to those supervising the work on the LORD’s house.”|Keep the financial report before the book report.
22:10|Then Shaphan the secretary told the king, “Hilkiah the priest has given me a book.” And Shaphan read it aloud before the king.|Preserve the understated report and oral reading.
22:11|When the king heard the words of the Book of the Instruction, he tore his clothes.|Keep hearing as the trigger of the grief gesture.
22:12|The king commanded Hilkiah the priest, Ahikam son of Shaphan, Achbor son of Micaiah, Shaphan the secretary, and Asaiah the king’s servant:|Retain the five named delegates.
22:13|“Go and inquire of the LORD for me, for the people, and for all Judah concerning the words of this book that has been found. Great is the LORD’s wrath kindled against us, because our ancestors did not listen to this book’s words and do everything written for us.”|Preserve all beneficiaries and the hearing/doing link.
22:14|Hilkiah the priest, Ahikam, Achbor, Shaphan, and Asaiah went to Huldah the prophetess, wife of Shallum son of Tikvah, son of Harhas, keeper of the wardrobe. She lived in Jerusalem’s Second Quarter. They spoke with her,|Retain Huldah’s prophetic title and her husband’s lineage and occupation.
22:15|and she said to them, “This is what the LORD, the God of Israel, says: Tell the man who sent you to me:|Keep the woman as authoritative oracle speaker and the unnamed man address.
22:16|This is what the LORD says: I am bringing disaster on this place and its inhabitants—all the words of the book the king of Judah has read.|Preserve the oracle’s scope.
22:17|Because they abandoned me and burned offerings to other gods, provoking me with all the work of their hands, my wrath is kindled against this place and will not be quenched.|Keep the fire image and unquenched judgment.
22:18|But tell the king of Judah, who sent you to inquire of the LORD: This is what the LORD, the God of Israel, says concerning the words you heard:|Distinguish the personal royal response from the preceding public judgment.
22:19|Because your heart was tender and you humbled yourself before the LORD when you heard what I said against this place and its inhabitants—that they would become a desolation and a curse—and because you tore your clothes and wept before me, I too have heard you, declares the LORD.|Keep the reciprocal hearing and every response listed.
22:20|Therefore I will gather you to your ancestors, and you will be gathered to your grave in peace. Your eyes will not see all the disaster I am bringing on this place.” They took the reply back to the king.|Preserve in peace despite the later violent death; do not harmonize it away.
23:1|The king sent word, and all the elders of Judah and Jerusalem gathered to him.|Keep both constituencies.
23:2|The king went up to the LORD’s house with all the men of Judah, all Jerusalem’s inhabitants, the priests, the prophets, and all the people, from the least to the greatest. He read aloud to them all the words of the Book of the Covenant found in the LORD’s house.|Retain every audience group and full public reading.
23:3|The king stood by the pillar and made a covenant before the LORD: to follow the LORD and keep his commandments, testimonies, and decrees with all his heart and all his being, carrying out the words of this covenant written in the book. All the people joined in the covenant.|Preserve the pillar, full commitment, and people’s participation.
23:4|The king commanded Hilkiah the high priest, the second-ranking priests, and the threshold guards to remove from the LORD’s temple all the utensils made for Baal, Asherah, and all the army of heaven. He burned them outside Jerusalem in the fields of the Kidron and carried their ashes to Bethel.|Retain ranks, worship objects, and both disposal locations.
23:5|He removed the cult priests Judah’s kings had appointed to burn offerings at the high places in Judah’s towns and around Jerusalem, and those who burned offerings to Baal, the sun, the moon, the constellations, and all the army of heaven.|Keep the distinct priest designation and full celestial list.
23:6|He brought the Asherah out of the LORD’s house to the Kidron Valley outside Jerusalem, burned it there, ground it to dust, and scattered its dust over the graves of the common people.|Preserve the sequence of destruction and grave contamination.
23:7|He tore down the quarters of the male shrine attendants in the LORD’s house, where women wove coverings for Asherah.|Keep the gendered groups and flag uncertain roles and woven objects in notes.
23:8|He brought all the priests from Judah’s towns and defiled the high places where they had burned offerings, from Geba to Beer-sheba. He demolished the high places at the gates, at the entrance to the gate of Joshua the city governor, on the left as one entered the city gate.|Retain the geographic extent and difficult gate location.
23:9|The priests of the high places did not go up to the LORD’s altar in Jerusalem, though they ate unleavened bread among their fellow priests.|Keep exclusion from altar service distinct from shared food.
23:10|He defiled Topheth in the Valley of Ben-hinnom, so that no one could make a son or daughter pass through the fire to Molech.|Preserve both genders, rite, and location.
23:11|He removed the horses Judah’s kings had dedicated to the sun at the entrance to the LORD’s house, near the chamber of Nathan-melech the court official in the precincts. He burned the sun’s chariots.|Keep horses and chariots distinct without saying the horses were burned.
23:12|The king demolished the altars Judah’s kings had made on the roof of Ahaz’s upper room and the altars Manasseh had made in both courtyards of the LORD’s house. He removed them from there and threw their dust into the Kidron Valley.|Retain the roof and both courtyards; avoid overstating the difficult removal verb.
23:13|The king defiled the high places east of Jerusalem, south of the Mount of Destruction, which Solomon king of Israel had built for Ashtoreth, the Sidonians’ detestable god, Chemosh, Moab’s detestable god, and Milcom, the Ammonites’ abhorrent god.|Preserve Solomon’s responsibility and all three national deities.
23:14|He smashed the sacred pillars, cut down the Asherah poles, and filled their sites with human bones.|Keep the deliberate use of human remains.
23:15|He also demolished the altar at Bethel and the high place Jeroboam son of Nebat had made, leading Israel into sin. He demolished that altar and high place, burned the high place, ground it to dust, and burned the Asherah.|Preserve the repeated demolition and distinct burning actions.
23:16|Josiah turned and saw the tombs there on the hill. He had the bones taken from the tombs and burned on the altar, defiling it, according to the LORD’s word proclaimed by the man of God who had announced these things.|Keep the fulfillment connection with the earlier unnamed prophet.
23:17|He asked, “What is that monument I see?” The men of the city told him, “It is the tomb of the man of God who came from Judah and announced these things you have done to Bethel’s altar.”|Retain the question and identifying report.
23:18|He said, “Leave it alone. Let no one disturb his bones.” So they spared his bones, along with those of the prophet who had come from Samaria.|Keep both prophets’ remains protected.
23:19|Josiah also removed all the high-place shrines in Samaria’s towns, which Israel’s kings had made and so provoked anger. He did to them everything he had done at Bethel.|Retain the extension into northern towns.
23:20|He slaughtered all the priests of the high places there on their altars and burned human bones on them. Then he returned to Jerusalem.|Preserve the killing’s sacrificial diction and the return.
23:21|The king commanded all the people, “Celebrate Passover to the LORD your God, as written in this Book of the Covenant.”|Keep the festival and written authority.
23:22|No Passover like this had been celebrated since the days of the judges who judged Israel, or throughout the days of the kings of Israel and Judah.|Retain like this rather than claiming no Passover at all.
23:23|It was in King Josiah’s eighteenth year that this Passover was celebrated to the LORD in Jerusalem.|Preserve date and location.
23:24|Josiah also cleared away the mediums, spiritists, household gods, idols, and all the detestable things seen in Judah and Jerusalem. He did this to carry out the words of the Instruction written in the book Hilkiah the priest had found in the LORD’s house.|Keep the full removal list and stated purpose.
23:25|No king before him had turned to the LORD as he did, with all his heart, all his being, and all his strength, following all Moses’ Instruction. Nor did anyone like him arise afterward.|Preserve the exceptional claim and threefold total commitment.
23:26|Yet the LORD did not turn from his great, burning anger against Judah because of everything Manasseh had done to provoke him.|Keep the failure of reform to reverse the stated judgment.
23:27|The LORD said, “I will remove Judah from my presence too, just as I removed Israel. I will reject Jerusalem, this city I chose, and the house of which I said, ‘My name will be there.’”|Retain both rejected chosen places and repeated removal language.
23:28|The rest of Josiah’s acts and everything he did are written in the annals of the kings of Judah.|Keep the source notice.
23:29|In his days Pharaoh Neco king of Egypt went up to the king of Assyria at the Euphrates River. King Josiah went out to meet him, and Neco killed him at Megiddo when he saw him.|Leave the ambiguous relation to Assyria open and preserve Kings’ death location.
23:30|His servants carried him dead from Megiddo to Jerusalem in a chariot and buried him in his tomb. The people of the land took Josiah’s son Jehoahaz, anointed him, and made him king in his father’s place.|Keep dead on transport rather than harmonizing Chronicles.
23:31|Jehoahaz was twenty-three years old when he became king, and he reigned in Jerusalem for three months. His mother’s name was Hamutal, daughter of Jeremiah, from Libnah.|Preserve age, short reign, and maternal lineage.
23:32|He did what was evil in the LORD’s eyes, just as his ancestors had done.|Keep the adverse judgment after Josiah.
23:33|Pharaoh Neco imprisoned him at Riblah in the land of Hamath, preventing him from reigning in Jerusalem. He imposed on the land a levy of a hundred talents of silver and one talent of gold.|Follow the read preventing and retain both tribute amounts.
23:34|Pharaoh Neco made Eliakim son of Josiah king in place of his father Josiah and changed his name to Jehoiakim. He took Jehoahaz away to Egypt, where he died.|Preserve the imposed name change and exile death.
23:35|Jehoiakim gave Pharaoh the silver and gold, but he taxed the land to meet Pharaoh’s demand. He exacted silver and gold from the people of the land, each according to his assessment, to pay Pharaoh Neco.|Keep the burden’s transfer to the population.
23:36|Jehoiakim was twenty-five years old when he became king, and he reigned in Jerusalem for eleven years. His mother’s name was Zebudah, daughter of Pedaiah, from Rumah.|Follow the read maternal name and preserve all figures.
23:37|He did what was evil in the LORD’s eyes, just as his ancestors had done.|Retain the closing judgment.
24:1|In Jehoiakim’s days Nebuchadnezzar king of Babylon invaded. Jehoiakim became his servant for three years, then turned and rebelled against him.|Retain the three-year submission before rebellion.
24:2|The LORD sent raiding bands of Chaldeans, Arameans, Moabites, and Ammonites against him. He sent them against Judah to destroy it, according to the LORD’s word spoken through his servants the prophets.|Preserve divine agency and all four groups.
24:3|This came upon Judah at the LORD’s command, to remove them from his presence because of Manasseh’s sins and everything he had done,|Keep the stated cause and sentence continuation.
24:4|including the innocent blood he had shed. He had filled Jerusalem with innocent blood, and the LORD was unwilling to forgive.|Retain repeated innocent blood and refusal to forgive.
24:5|The rest of Jehoiakim’s acts and everything he did are written in the annals of the kings of Judah.|Keep the source notice.
24:6|Jehoiakim rested with his ancestors. His son Jehoiachin became king in his place.|Distinguish the similar royal names.
24:7|The king of Egypt no longer came out of his land, because the king of Babylon had taken everything that had belonged to him, from the Wadi of Egypt to the Euphrates River.|Retain the two boundaries and changed imperial control.
24:8|Jehoiachin was eighteen years old when he became king, and he reigned in Jerusalem for three months. His mother’s name was Nehushta, daughter of Elnathan, from Jerusalem.|Keep eighteen rather than importing another book’s age.
24:9|He did what was evil in the LORD’s eyes, just as his father had done.|Retain the paternal comparison.
24:10|At that time the servants of Nebuchadnezzar king of Babylon advanced on Jerusalem, and the city came under siege.|Follow plural servants in the read text.
24:11|Nebuchadnezzar king of Babylon came to the city while his servants were besieging it.|Preserve the king’s subsequent personal arrival.
24:12|Jehoiachin king of Judah went out to the king of Babylon with his mother, servants, commanders, and court officials. The king of Babylon took him prisoner in the eighth year of his reign.|Retain the full surrender party and Babylonian regnal year.
24:13|He carried off all the treasures of the LORD’s house and the palace and cut apart all the gold utensils Solomon king of Israel had made for the LORD’s temple, just as the LORD had said.|Preserve the destruction of Solomon’s utensils and both treasuries.
24:14|He deported all Jerusalem—all the leaders and capable fighting men, ten thousand exiles, along with all the craftsmen and metalworkers. Only the poorest people of the land remained.|Retain the totalizing statement with its explicit exception and ten-thousand count.
24:15|He deported Jehoiachin to Babylon. He also took the king’s mother, his wives, his court officials, and the leading men of the land into exile from Jerusalem to Babylon.|Keep the women and officials in the expanded list.
24:16|The king of Babylon took to Babylon all the fighting men, seven thousand, and the craftsmen and metalworkers, a thousand—all strong men fit for war.|Preserve the separate subtotals without forcing a new grand total.
24:17|The king of Babylon made Jehoiachin’s uncle Mattaniah king in his place and changed his name to Zedekiah.|Keep the uncle relationship and imposed name change.
24:18|Zedekiah was twenty-one years old when he became king, and he reigned in Jerusalem for eleven years. His mother’s name was Hamutal, daughter of Jeremiah, from Libnah.|Follow read Hamutal and retain all chronological details.
24:19|He did what was evil in the LORD’s eyes, just as Jehoiakim had done.|Keep the named comparison.
24:20|Because of the LORD’s anger, these things happened in Jerusalem and Judah until he cast them out of his presence. Then Zedekiah rebelled against the king of Babylon.|Retain the theological summary before the rebellion narrative.
25:1|In the ninth year of Zedekiah’s reign, on the tenth day of the tenth month, Nebuchadnezzar king of Babylon came against Jerusalem with his whole army. He camped against it, and they built siegeworks all around it.|Keep the complete date and encirclement.
25:2|The city remained under siege until King Zedekiah’s eleventh year.|Retain the ending regnal year.
25:3|By the ninth day of the month, the famine in the city was severe, and there was no bread for the people of the land.|Do not insert the fourth month from Jeremiah into Kings’ shorter date.
25:4|The city wall was breached. That night all the fighting men fled through the gate between the two walls beside the king’s garden, while the Chaldeans surrounded the city. The king went toward the Arabah.|Supply the implied flight and identify the king from the next verse.
25:5|The Chaldean army pursued the king and overtook him in the plains of Jericho. His whole army had scattered from him.|Retain the capture location and abandonment.
25:6|They seized the king and brought him to the king of Babylon at Riblah, where judgment was pronounced against him.|Keep the judicial scene before the punishment.
25:7|They slaughtered Zedekiah’s sons before his eyes. Then the king of Babylon put out Zedekiah’s eyes, bound him in bronze shackles, and took him to Babylon.|Preserve the cruel sequence and concrete shackles.
25:8|On the seventh day of the fifth month, in the nineteenth year of Nebuchadnezzar king of Babylon, Nebuzaradan, commander of the guard and servant of Babylon’s king, came to Jerusalem.|Retain seventh day rather than harmonizing Jeremiah’s tenth.
25:9|He burned the LORD’s house, the palace, and all Jerusalem’s houses. Every great house he burned down.|Preserve the comprehensive burning and repeated emphasis.
25:10|The whole Chaldean army with the commander of the guard tore down the walls around Jerusalem.|Keep the army’s action distinct from the commander’s burning.
25:11|Nebuzaradan, commander of the guard, deported the people left in the city, those who had deserted to the king of Babylon, and the rest of the population.|Retain deserters among those deported.
25:12|But the commander of the guard left some of the poorest people of the land to tend vineyards and fields.|Keep the exception and agricultural roles.
25:13|The Chaldeans broke up the bronze pillars, the stands, and the bronze Sea in the LORD’s house, and carried their bronze to Babylon.|Preserve the named furnishings and destination.
25:14|They took the pots, shovels, snuffers, dishes, and all the bronze utensils used in the service.|Keep the complete utensil list.
25:15|The commander of the guard also took the firepans and bowls—whatever was gold as gold, and whatever was silver as silver.|Retain the material-by-material phrasing.
25:16|The bronze of the two pillars, the one Sea, and the stands Solomon had made for the LORD’s house—all these objects—was beyond weighing.|Keep the counts and unweighed abundance.
25:17|Each pillar was eighteen cubits high and had a bronze capital three cubits high, with bronze latticework and pomegranates all around it. The second pillar, with its latticework, was the same.|Retain three-cubit capitals here rather than harmonizing the earlier five.
25:18|The commander of the guard took Seraiah the chief priest, Zephaniah the second priest, and the three threshold guards.|Keep ranks, names, and number of guards.
25:19|From the city he took one official in charge of the fighting men, five of the king’s close advisers who were found there, the army secretary responsible for mustering the people of the land, and sixty men of the land found in the city.|Retain five advisers rather than Jeremiah’s seven and the other distinct counts.
25:20|Nebuzaradan, commander of the guard, took them and brought them to the king of Babylon at Riblah.|Preserve the transfer for judgment.
25:21|The king of Babylon struck them down and put them to death at Riblah in the land of Hamath. So Judah went into exile from its land.|Keep execution before the exile summary.
25:22|Nebuchadnezzar king of Babylon appointed Gedaliah son of Ahikam, son of Shaphan, over the people he had left in the land of Judah.|Retain the three-generation connection to earlier officials.
25:23|When all the army commanders and their men heard that Babylon’s king had appointed Gedaliah, they came to him at Mizpah: Ishmael son of Nethaniah, Johanan son of Kareah, Seraiah son of Tanhumeth the Netophathite, and Jaazaniah son of the Maacathite, with their men.|Preserve all named commanders and origins.
25:24|Gedaliah swore an oath to them and their men: “Do not be afraid of the Chaldean officials. Stay in the land and serve the king of Babylon, and things will go well for you.”|Retain the oath and practical assurance.
25:25|In the seventh month Ishmael son of Nethaniah, son of Elishama, a member of the royal line, came with ten men. They struck Gedaliah dead, along with the Judeans and Chaldeans who were with him at Mizpah.|Keep the royal lineage, ten companions, and both victim groups.
25:26|Then all the people, from the least to the greatest, and the army commanders left for Egypt because they were afraid of the Chaldeans.|Preserve fear as the stated reason for flight.
25:27|In the thirty-seventh year of the exile of Jehoiachin king of Judah, on the twenty-seventh day of the twelfth month, Evil-merodach king of Babylon, in the year he became king, lifted Jehoiachin’s head and released him from prison.|Retain the complete date and lifted-head image.
25:28|He spoke kindly to him and gave him a seat above the seats of the other kings with him in Babylon.|Keep the comparative honor without claiming restoration to Judah’s throne.
25:29|Jehoiachin changed out of his prison clothes and regularly ate at the king’s table for the rest of his life.|Retain the clothing change and ongoing meals.
25:30|The king gave him a regular allowance, a daily portion every day, for the rest of his life.|Preserve the repeated daily and lifelong provision that closes the book.
