2:1|As David’s death drew near, he gave his son Solomon these instructions:|Introduces the approaching death and direct charge without archaic timing.
18:41|Then Elijah told Ahab, “Go up, eat and drink. There is the sound of heavy rain.”|Retains the announcement before the visible cloud.
18:42|Ahab went up to eat and drink. Elijah climbed to Carmel’s summit, bent down to the ground, and put his face between his knees.|Keeps the contrasting actions and unusual bodily posture.
18:43|He told his servant, “Go up and look toward the sea.” The servant looked and said, “There is nothing.” Seven times Elijah told him, “Go back.”|Preserves repetition and lack of sight.
18:44|On the seventh time the servant said, “A cloud as small as a man’s hand is rising from the sea.” Elijah said, “Go, tell Ahab, ‘Harness your chariot and go down before the rain stops you.’”|Keeps seventh observation and hand-sized cloud.
18:45|In a little while the sky grew dark with clouds and wind, and heavy rain fell. Ahab rode away to Jezreel.|Retains the changing weather and destination.
18:46|The LORD’s hand came upon Elijah. He tucked his clothing into his belt and ran ahead of Ahab all the way to the entrance of Jezreel.|Makes girding practical while retaining divine hand imagery.
19:1|Ahab told Jezebel everything Elijah had done and how he had killed all the prophets with the sword.|Keeps the report’s violence and scope.
19:2|Jezebel sent a messenger to Elijah: “May the gods do this to me, and more besides, if by this time tomorrow I have not made your life like the life of one of them.”|Preserves self-curse, deadline and threatened death.
19:3|When he saw this, he got up and went for his life. He reached Beer-sheba in Judah and left his servant there.|Follows pinned saw rather than feared, retaining flight for life.
19:4|He himself went a day’s journey into the wilderness and sat under a broom bush. He asked to die: “Enough now, LORD. Take my life. I am no better than my ancestors.”|Keeps the death wish and comparison without psychologizing.
19:5|He lay down and slept under the broom bush. Suddenly an angel touched him and said, “Get up and eat.”|Retains sleep, touch and practical instruction.
19:6|He looked, and there beside his head were a cake baked on hot stones and a jug of water. He ate and drank, then lay down again.|Preserves food, water and renewed rest.
19:7|The LORD’s angel came back a second time, touched him, and said, “Get up and eat. The journey is too much for you.”|Keeps the second touch and acknowledged limitation.
19:8|He got up, ate, and drank. Strengthened by that food, he traveled forty days and forty nights to Horeb, the mountain of God.|Retains both forty counts and destination’s sacred name.
19:9|There he entered the cave and spent the night. The LORD’s word came to him: “What are you doing here, Elijah?”|Preserves the definite cave without inventing its identity.
19:10|He answered, “I have been intensely zealous for the LORD, the God of Armies. The Israelites have abandoned your covenant, torn down your altars, and killed your prophets with the sword. I alone remain, and they are seeking my life to take it.”|Keeps the three accusations and subjective alone claim.
19:11|He said, “Go out and stand on the mountain before the LORD.” The LORD was passing by. A great, powerful wind tore mountains apart and shattered rocks before the LORD, but the LORD was not in the wind. After the wind came an earthquake, but the LORD was not in the earthquake.|Retains command, destructive forces and repeated divine absence.
19:12|After the earthquake came fire, but the LORD was not in the fire. After the fire came a sound of fine stillness.|Preserves the paradoxical sound/stillness expression with alternatives in a note.
19:13|When Elijah heard it, he wrapped his face in his cloak and went out to stand at the cave’s entrance. A voice came to him: “What are you doing here, Elijah?”|Keeps the delayed exit and repeated question.
19:14|He answered, “I have been intensely zealous for the LORD, the God of Armies. The Israelites have abandoned your covenant, torn down your altars, and killed your prophets with the sword. I alone remain, and they are seeking my life to take it.”|Retains the full repeated answer without smoothing it away.
19:15|The LORD told him, “Go back on your way to the wilderness of Damascus. When you arrive, anoint Hazael king over Aram.|Keeps destination and first commission.
19:16|Anoint Jehu son of Nimshi king over Israel, and anoint Elisha son of Shaphat from Abel-meholah as prophet in your place.|Preserves both remaining appointments and full identifiers.
19:17|Whoever escapes Hazael’s sword, Jehu will kill; whoever escapes Jehu’s sword, Elisha will kill.|Does not soften the lethal commission or explain its later realization.
19:18|Yet I will leave seven thousand in Israel: every knee that has not bowed to Baal and every mouth that has not kissed him.”|Keeps remnant number and bodily acts of allegiance.
19:19|Elijah left and found Elisha son of Shaphat plowing. Twelve pairs of cattle were ahead of him, and he was with the twelfth. Elijah passed him and threw his cloak over him.|Preserves the twelve teams and cloak action.
19:20|Elisha left the cattle and ran after Elijah. “Please let me kiss my father and mother,” he said, “and then I will follow you.” Elijah answered, “Go back. What have I done to you?”|Retains the parents and Elijah’s open-ended question.
19:21|Elisha turned back, took his pair of cattle, and slaughtered them. Using the cattle’s equipment as fuel, he boiled the meat and gave it to the people to eat. Then he got up, followed Elijah, and served him.|Keeps farewell meal and destroyed equipment without adding a sermon.
20:1|Ben-hadad king of Aram gathered his whole army, with thirty-two kings, horses, and chariots. He advanced on Samaria, besieged it, and attacked it.|Preserves coalition count and military sequence.
20:2|He sent messengers into the city to Ahab king of Israel.|Keeps this original source record’s messenger action.
20:3|His message was: “This is what Ben-hadad says: Your silver and gold are mine. Your wives and your finest sons are mine too.”|Places the whole demand in its Hebrew-bound verse and retains seizure of people.
20:4|The king of Israel answered, “As you say, my lord the king. I and all I have are yours.”|Keeps submission and its full scope.
20:5|The messengers returned and said, “This is what Ben-hadad says: I sent word that you must give me your silver, gold, wives, and sons.|Retains the repeated initial demand.
20:6|But about this time tomorrow I will send my servants to you. They will search your house and your servants’ houses. Whatever is precious in your eyes, they will seize and carry away.”|Keeps the expanded search and your-eyes reading.
20:7|The king of Israel summoned all the land’s elders. “Please take note,” he said. “See how this man seeks our harm. He demanded my wives, sons, silver, and gold, and I did not refuse him.”|Retains Ahab’s report of compliance and escalated threat.
20:8|All the elders and all the people said, “Do not listen to him or agree.”|Keeps joint opposition and paired refusal.
20:9|He told Ben-hadad’s messengers, “Tell my lord the king: I will do everything you first asked of your servant, but I cannot do this.” The messengers left and took back his answer.|Preserves limited refusal rather than total repudiation.
20:10|Ben-hadad sent back this message: “May the gods do this to me, and more besides, if Samaria’s dust is enough to give a handful to each of the people following me!”|Keeps the boast’s dust image and self-curse.
20:11|The king of Israel answered, “Tell him: Someone putting on armor should not boast like someone taking it off.”|Makes the proverb’s implied equipment explicit.
20:12|Ben-hadad heard this while he and the kings were drinking in their shelters. He ordered his servants, “Take your positions!” They took their positions against the city.|Keeps drinking and the attack preparation.
20:13|A prophet approached Ahab king of Israel and said, “This is what the LORD says: Do you see this great army? I am giving it into your hand today, and you will know that I am the LORD.”|Retains victory’s stated revelatory purpose.
20:14|“Through whom?” Ahab asked. The prophet answered, “The LORD says: Through the young attendants of the district commanders.” “Who is to begin the battle?” Ahab asked. “You,” he replied.|Makes alternating speakers clear without changing the unusual force.
20:15|Ahab mustered the district commanders’ young attendants: two hundred thirty-two. After them he mustered all the troops, all the Israelites: seven thousand.|Preserves both force counts.
20:16|They went out at noon while Ben-hadad was drinking himself drunk in the shelters with the thirty-two kings who supported him.|Keeps time, intoxication and repeated coalition number.
20:17|The district commanders’ young attendants went out first. Ben-hadad sent scouts, who reported, “Men have come out of Samaria.”|Clarifies the implied scouting function.
20:18|He said, “If they have come for peace, take them alive. If they have come for war, take them alive.”|Retains the identical command for both possibilities.
20:19|The district commanders’ young attendants came out of the city, followed by the army.|Keeps order of the two forces.
20:20|Each struck down his opponent. Aram fled, and Israel pursued them. Ben-hadad king of Aram escaped on horseback with horsemen.|Preserves individual fighting and the king’s escape.
20:21|The king of Israel came out and struck the horses and chariots, inflicting a great defeat on Aram.|Keeps the king’s subsequent sortie and targets.
20:22|The prophet approached the king of Israel and said, “Go, strengthen yourself. Consider carefully what you must do, because at the turn of the year the king of Aram will attack you.”|Retains warning and seasonal timing without imposing a calendar date.
20:23|The king of Aram’s servants told him, “Their gods are gods of the hills. That is why they overpowered us. But if we fight them on the plain, we will surely overpower them.|Keeps the Arameans’ explanation attributed to them.
20:24|Do this: remove each king from his post and put governors in their places.|Preserves the proposed command reorganization.
20:25|Raise an army equal to the one you lost, horse for horse and chariot for chariot. We will fight them on the plain, and surely we will overpower them.” He listened and did so.|Retains equal replacement and repeated confidence.
20:26|At the turn of the year Ben-hadad mustered Aram and advanced to Aphek to fight Israel.|Keeps the warning’s realized timing.
20:27|The Israelites were mustered and supplied, and went out to meet them. Israel camped opposite them like two little flocks of goats, while Aram filled the land.|Preserves the striking unequal-armies simile.
20:28|The man of God approached the king of Israel and said, “This is what the LORD says: Because Aram has said, ‘The LORD is a god of the hills, not a god of the valleys,’ I will give this whole great army into your hand. Then you will know that I am the LORD.”|Keeps the challenge to geographic divine limitation and plural final knowledge.
20:29|They camped opposite one another for seven days. On the seventh day battle began, and the Israelites struck down a hundred thousand Aramean foot soldiers in one day.|Preserves all three time/count details.
20:30|The survivors fled into Aphek, where the wall fell on twenty-seven thousand of the remaining men. Ben-hadad fled into the city and hid in an inner room.|Keeps the wall disaster and royal hiding place.
20:31|His servants said, “We have heard that the kings of Israel’s house show mercy. Let us put sackcloth around our waists and ropes around our heads and go out to the king of Israel. Perhaps he will spare your life.”|Preserves submission clothing and your life rather than changing it to ours.
20:32|They tied sackcloth around their waists and ropes around their heads and went to the king of Israel. “Your servant Ben-hadad says, ‘Please spare my life,’” they told him. Ahab answered, “Is he still alive? He is my brother.”|Keeps the unexpected brother designation.
20:33|The men took this as a favorable sign and quickly seized on his words. “Your brother Ben-hadad!” they said. “Go and bring him,” Ahab replied. Ben-hadad came out to him, and Ahab brought him up into his chariot.|Makes the word-catching idiom and changing agents readable.
20:34|Ben-hadad said, “I will return the towns my father took from your father. You may establish trading streets in Damascus, as my father did in Samaria.” Ahab answered, “On this covenant I will release you.” He made a covenant with him and let him go.|Identifies speakers at the unmarked shift; commercial streets interpretation noted.
20:35|At the LORD’s word, one of the prophets’ company said to his companion, “Please strike me.” But the man refused.|Retains the prophetic group and disturbing command.
20:36|He told him, “Because you did not listen to the LORD’s voice, a lion will strike you when you leave me.” When the man left, a lion met him and struck him down.|Preserves judgment for refusing harm without explaining it away.
20:37|The prophet found another man and said, “Please strike me.” The man struck him and wounded him.|Keeps injury as the actual response.
20:38|Then the prophet went and waited for the king beside the road, disguised with a bandage over his eyes.|Retains the disguise’s material and location.
20:39|As the king passed, he cried out, “Your servant went into the thick of battle. A man turned aside and brought me another man, saying, ‘Guard this man. If he goes missing, your life will be for his life, or you must pay a talent of silver.’|Keeps the enacted story’s two alternative penalties.
20:40|But while your servant was busy here and there, the man disappeared.” The king of Israel told him, “That is your sentence. You have decided it yourself.”|Preserves self-judgment through the story.
20:41|The prophet quickly removed the bandage from his eyes, and the king of Israel recognized him as one of the prophets.|Keeps recognition after disguise removal.
20:42|He told the king, “This is what the LORD says: Because you let the man I devoted to destruction escape from your hand, your life will be for his life, and your people for his people.”|Retains destruction-ban language and substitution judgment.
20:43|The king of Israel went home to Samaria, sullen and angry.|Keeps the emotional pair repeated in the next chapter.
21:1|After these events, Naboth the Jezreelite had a vineyard in Jezreel beside the palace of Ahab king of Samaria.|Retains owner, place and proximity.
21:2|Ahab told Naboth, “Give me your vineyard for a vegetable garden, since it is close to my house. I will give you a better vineyard in exchange, or, if you prefer, pay you its value in silver.”|Preserves both offered exchanges and the king’s purpose.
21:3|Naboth answered, “The LORD forbid that I give you my ancestors’ inheritance!”|Keeps the LORD and ancestral inheritance as grounds for refusal.
21:4|Ahab went home sullen and angry because Naboth the Jezreelite had said, “I will not give you my ancestors’ inheritance.” He lay on his bed, turned his face away, and would not eat.|Retains the emotional echo and bodily withdrawal.
21:5|His wife Jezebel came and asked, “Why are you so sullen that you will not eat?”|Keeps her question tied to his visible behavior.
21:6|He told her, “I said to Naboth the Jezreelite, ‘Give me your vineyard for silver, or, if you prefer, I will give you another vineyard in exchange.’ But he said, ‘I will not give you my vineyard.’”|Preserves Ahab’s retelling, including its omission of ancestral inheritance.
21:7|His wife Jezebel said, “Are you now the one ruling Israel? Get up, eat, and cheer up. I will give you Naboth the Jezreelite’s vineyard.”|Keeps the royal challenge as a question, with alternative force noted.
21:8|She wrote letters in Ahab’s name and sealed them with his seal. She sent them to the elders and nobles living in Naboth’s town.|Preserves use of royal authority and local recipients.
21:9|In the letters she wrote, “Proclaim a fast and seat Naboth at the head of the people.|Keeps the religious assembly and prominent seat.
21:10|Seat two worthless men opposite him and have them testify, ‘You cursed God and the king.’ Then take him out and stone him to death.”|Renders bless as the contextual euphemism curse, explicitly noted.
21:11|The men of Naboth’s town—the elders and nobles who lived there—did as Jezebel directed, just as she had written in her letters.|Retains local leaders’ agency and compliance.
21:12|They proclaimed a fast and seated Naboth at the head of the people.|Preserves the command’s exact enacted repetition.
21:13|The two worthless men came and sat opposite him. Before the people they testified against Naboth: “Naboth cursed God and the king.” Then they took him outside the town and stoned him to death.|Keeps false testimony attributed and killing explicit.
21:14|They sent word to Jezebel: “Naboth has been stoned and is dead.”|Retains the death report’s two elements.
21:15|When Jezebel heard that Naboth had been stoned to death, she told Ahab, “Get up and take possession of the vineyard Naboth the Jezreelite refused to sell you. Naboth is no longer alive. He is dead.”|Keeps possession linked to death and its emphatic repetition.
21:16|When Ahab heard that Naboth was dead, he got up and went down to Naboth the Jezreelite’s vineyard to take possession of it.|Preserves Ahab’s direct participation in seizure.
21:17|The word of the LORD came to Elijah the Tishbite:|Retains divine intervention after dispossession.
21:18|“Get up and go down to meet Ahab king of Israel, who rules in Samaria. He is in Naboth’s vineyard, where he has gone to take possession.|Clarifies Samaria’s royal association while preserving vineyard location.
21:19|Tell him, ‘This is what the LORD says: Have you murdered and also taken possession?’ Then tell him, ‘This is what the LORD says: In the place where dogs licked Naboth’s blood, dogs will lick your blood—yours too.’”|Keeps murder accusation and place-specific blood judgment.
21:20|Ahab said to Elijah, “Have you found me, my enemy?” “I have found you,” he answered, “because you have sold yourself to do evil in the LORD’s eyes.|Retains finding repetition and self-sale image.
21:21|He says, ‘I am bringing disaster on you. I will sweep away your descendants and cut off every one of Ahab’s males who urinates against a wall, confined or free in Israel.|Marks the shift into divine first-person speech and retains coarse idiom.
21:22|I will make your house like the house of Jeroboam son of Nebat and the house of Baasha son of Ahijah, because you provoked me to anger and led Israel into sin.’|Keeps both earlier dynasties as precedents.
21:23|The LORD also spoke about Jezebel: ‘Dogs will eat Jezebel by the rampart of Jezreel.’|Retains rampart from this pin rather than importing a plot of land.
21:24|Dogs will eat anyone of Ahab’s house who dies in the city, and the birds of the sky will eat anyone who dies in the open country.”|Preserves the repeated city/country judgment.
21:25|There was no one like Ahab, who sold himself to do evil in the LORD’s eyes, urged on by his wife Jezebel.|Keeps Ahab’s agency alongside Jezebel’s instigation.
21:26|He acted most detestably in following idols, like everything the Amorites had done, whom the LORD drove out before the Israelites.|Retains the narrator’s comparison and displacement claim.
21:27|When Ahab heard these words, he tore his clothes, put sackcloth against his skin, and fasted. He lay in sackcloth and walked about subdued.|Preserves all bodily acts without declaring inward motives.
21:28|The word of the LORD came to Elijah the Tishbite:|Keeps the new response distinct from judgment.
21:29|“Have you seen how Ahab has humbled himself before me? Because he has humbled himself, I will not bring the disaster in his days. I will bring it on his house in his son’s days.”|Retains acknowledged humility and deferred, not canceled, judgment.
