1:1|The record of the origins of Jesus the Messiah, son of David, son of Abraham.|Keeps genesis/origins broader than a mere name list and preserves the two defining ancestral titles.
20:22|Jesus answered, “You do not know what you are asking. Can you drink the cup I am about to drink?” “We can,” they told him.|Preserves plural response and cup without adding baptism language.
20:23|He told them, “You will drink my cup. But the seats at my right and left are not mine to give; they belong to those for whom my Father has prepared them.”|Keeps the shared cup and reserved appointment.
20:24|When the ten heard this, they were indignant with the two brothers.|Retains the numerical and relational contrast.
20:25|Jesus called them to him and said, “You know that the rulers of the Gentiles lord it over them, and their great ones wield authority over them.|Keeps the two forms of domination.
20:26|It will not be that way among you. Whoever wants to become great among you will be your servant,|Preserves the future formulation and servant term.
20:27|and whoever wants to be first among you will be your slave,|Distinguishes slave from servant and first from great.
20:28|just as the Son of Man came to serve, not to be served, and to give his life as a ransom for many.”|Retains ransom and many without inserting a theory of payment.
20:29|As they left Jericho, a large crowd followed him.|Preserves departure rather than harmonizing arrival accounts.
20:30|Two blind men were sitting beside the road. When they heard Jesus was passing by, they cried out, “Lord, have mercy on us, Son of David!”|Keeps two and the royal mercy appeal.
20:31|The crowd rebuked them, telling them to be quiet. But they cried out all the louder, “Lord, have mercy on us, Son of David!”|Preserves identical repeated plea and intensified resistance.
20:32|Jesus stopped, called them, and asked, “What do you want me to do for you?”|Keeps stopping and the open question.
20:33|“Lord,” they answered, “let our eyes be opened.”|Retains the physical image in their request.
20:34|Moved with compassion, Jesus touched their eyes. Immediately they received sight and followed him.|Preserves compassion, touch, immediacy, and following.
21:1|As they approached Jerusalem and came to Bethphage on the Mount of Olives, Jesus sent two disciples ahead.|Preserves all locations and the exact number sent.
21:2|He told them, “Go into the village opposite you. You will immediately find a donkey tied there, with a colt beside her. Untie them and bring them to me.|Keeps both animals and the female donkey’s relationship to the colt.
21:3|If anyone says anything to you, say, ‘The Lord needs them,’ and he will send them at once.”|Preserves the ambiguous he and the Lord designation.
21:4|This happened to fulfill what was spoken through the prophet:|Keeps the fulfillment frame without inserting a name into the verse.
21:5|“Tell daughter Zion:\nLook, your king is coming to you,\ngentle and riding on a donkey,\nand on a colt, the foal of a beast of burden.”|Retains daughter Zion and Matthew’s coordinated animal wording.
21:6|The disciples went and did just as Jesus had instructed.|Keeps the obedience formula.
21:7|They brought the donkey and the colt, placed their garments on them, and he sat on them.|Retains the final plural pronoun, with its likely garment reference explained in notes.
21:8|Most of the crowd spread their garments on the road. Others cut branches from the trees and spread them on the road.|Preserves garments/branches distinction without importing palms.
21:9|The crowds ahead of him and behind him kept shouting:\n“Hosanna to the Son of David!\nBlessed is the one who comes in the Lord’s name!\nHosanna in the highest!”|Keeps the liturgical cry and three acclamations.
21:10|When he entered Jerusalem, the whole city was shaken. “Who is this?” people asked.|Preserves the earthquake-like reaction image.
21:11|The crowds answered, “This is the prophet Jesus, from Nazareth in Galilee.”|Keeps their actual identification and origin.
21:12|Jesus entered the temple and drove out everyone selling and buying there. He overturned the money changers’ tables and the seats of those selling doves.|Retains buyers as well as sellers and both overturned objects.
21:13|He told them, “It is written, ‘My house will be called a house of prayer,’ but you are making it a robbers’ den.”|Preserves the scriptural contrast without an absent for-all-nations phrase.
21:14|Blind and lame people came to him in the temple, and he healed them.|Keeps both groups and temple location.
21:15|The chief priests and scribes saw the wonders he did and the children shouting in the temple, “Hosanna to the Son of David!” They were indignant|Preserves children’s cry and the leaders’ stated response.
21:16|and asked him, “Do you hear what they are saying?” “Yes,” Jesus answered. “Have you never read, ‘From the mouths of infants and nursing babies you have prepared praise’?”|Keeps praise as Matthew’s Greek quotation rather than harmonizing to Hebrew strength.
21:17|He left them, went out of the city to Bethany, and spent the night there.|Retains the overnight destination.
21:18|Early in the morning, as he returned to the city, he was hungry.|Keeps the human bodily need and timing.
21:19|He saw a fig tree beside the road and went to it, but found nothing on it except leaves. He said to it, “May no fruit ever come from you again.” At once the fig tree withered.|Preserves immediate sequence and perpetual prohibition without importing another chronology.
21:20|The disciples saw it and were amazed. “How did the fig tree wither at once?” they asked.|Keeps their question’s focus on immediacy.
21:21|Jesus answered them, “Truly I tell you, if you have faith and do not doubt, you will do not only what happened to the fig tree. Even if you tell this mountain, ‘Be lifted up and thrown into the sea,’ it will happen.|Retains both demonstrations and the conditional assurance.
21:22|Whatever you ask for in prayer with faith, you will receive.”|Keeps the broad promise without inserting qualifications into the text.
21:23|He entered the temple and was teaching when the chief priests and elders of the people approached him. “By what authority are you doing these things?” they asked. “Who gave you this authority?”|Preserves two related questions and the teaching setting.
21:24|Jesus answered, “I will ask you one question too. If you answer it, I will tell you by what authority I do these things.|Keeps the conditional exchange.
21:25|Where did John’s baptism come from—heaven or human beings?” They discussed it among themselves: “If we say, ‘Heaven,’ he will ask, ‘Why didn’t you believe him?’|Preserves the first dilemma and source-of-authority contrast.
21:26|But if we say, ‘Human beings’—we fear the crowd, because everyone regards John as a prophet.”|Keeps the broken deliberation and fear-driven reasoning.
21:27|So they answered Jesus, “We don’t know.” He told them, “Neither will I tell you by what authority I do these things.|Retains reciprocal refusal rather than ignorance attributed to Jesus.
21:28|“What do you think? A man had two sons. He went to the first and said, ‘Child, go work in the vineyard today.’|Preserves two, first, affectionate address, and today.
21:29|‘I don’t want to,’ he answered. But later he changed his mind and went.|Follows the pinned first-son sequence and actual change of action.
21:30|The father went to the second and said the same thing. ‘I will, sir,’ he answered, but he did not go.|Keeps assent without obedience and contrasts the two sons.
21:31|Which of the two did his father’s will?” “The first,” they said. Jesus told them, “Truly I tell you, tax collectors and prostitutes are going ahead of you into the kingdom of God.|Preserves first and going-ahead rather than declaring a permanent ethnic replacement.
21:32|For John came to you in the way of righteousness, and you did not believe him. But tax collectors and prostitutes did. Even after seeing this, you did not change your minds and believe him.|Keeps righteousness, belief, and repeated failure to change.
21:33|“Listen to another parable. A landowner planted a vineyard, put a fence around it, dug a winepress in it, and built a tower. He leased it to tenant farmers and went abroad.|Retains every preparation and the tenancy relationship.
21:34|When harvest time approached, he sent his slaves to the tenants to collect his produce.|Keeps slaves and the owner’s claim to fruit.
21:35|The tenants seized his slaves, beat one, killed another, and stoned another.|Preserves three distinct attacks.
21:36|He sent other slaves, more than before, and the tenants treated them the same way.|Keeps increased number and repeated treatment.
21:37|Finally he sent his son to them, saying, ‘They will respect my son.’|Preserves the father’s expectation without endorsing it as outcome.
21:38|But when the tenants saw the son, they said to one another, ‘This is the heir. Come, let’s kill him and take his inheritance.’|Keeps motive and shared conspiracy.
21:39|They seized him, threw him outside the vineyard, and killed him.|Preserves expulsion before killing.
21:40|So when the vineyard’s owner comes, what will he do to those tenants?”|Keeps the question inviting their own judgment.
21:41|They told him, “He will bring those evil men to an evil end and lease the vineyard to other tenants who will give him the produce at harvest time.”|Echoes kakous kakos and preserves the speakers’ verdict.
21:42|Jesus said to them, “Have you never read in the Scriptures:\n‘The stone the builders rejected\nhas become the cornerstone.\nThis came from the Lord,\nand it is marvelous in our eyes’?|Retains rejected stone, reversal, and communal wonder.
21:43|That is why I tell you: the kingdom of God will be taken from you and given to a people who produce its fruit.|Preserves people and fruit without adding an ethnic identification.
21:44|The one who falls on this stone will be shattered, and anyone on whom it falls will be crushed.”|Retains the verse printed in the pinned source and both destructive directions.
21:45|When the chief priests and Pharisees heard his parables, they knew he was speaking about them.|Keeps the explicitly identified immediate targets.
21:46|They wanted to arrest him, but feared the crowds, who regarded him as a prophet.|Preserves intention, restraint, and popular judgment.
22:1|Jesus spoke to them again in parables:|Keeps continuity with the disputed parables.
22:2|“The kingdom of heaven is like a king who held a wedding feast for his son.|Preserves royal father/son relationship and feast.
22:3|He sent his slaves to call those invited to the wedding feast, but they would not come.|Keeps repeated invitation and deliberate refusal.
22:4|He sent other slaves, saying, ‘Tell the invited guests: Look, I have prepared my meal. My oxen and fattened animals have been slaughtered, and everything is ready. Come to the wedding feast.’|Retains specific provisions and renewed invitation.
22:5|But they paid no attention and went away, one to his own field, another to his business.|Keeps ordinary pursuits as distinct refusals.
22:6|The rest seized his slaves, abused them, and killed them.|Preserves escalating mistreatment and murder.
22:7|The king was enraged. He sent his troops, destroyed those murderers, and burned their city.|Keeps the parable’s violent reprisal without sanitizing it.
22:8|Then he told his slaves, ‘The wedding feast is ready, but the invited guests were not worthy.|Preserves readiness contrasted with worthiness.
22:9|Go out where the roads lead and invite everyone you find to the wedding feast.’|Renders road outlets without over-specifying crossroads or gates.
22:10|Those slaves went out into the roads and gathered everyone they found, both evil and good. The wedding feast was filled with guests.|Keeps both moral categories and full attendance.
22:11|When the king came in to look at the guests, he saw a man there who was not wearing wedding clothes.|Preserves the missing attire without inventing a provision custom.
22:12|‘Friend,’ he asked, ‘how did you get in here without wedding clothes?’ The man was speechless.|Keeps the address, question, and silence.
22:13|Then the king told the attendants, ‘Bind his feet and hands and throw him into the outer darkness. There will be weeping and grinding of teeth.’|Distinguishes attendants from slaves and retains the judgment refrain.
22:14|For many are called, but few are chosen.”|Keeps the concise called/chosen contrast without doctrinal expansion.
22:15|Then the Pharisees went and planned how to trap him in what he said.|Preserves the explicitly hostile rhetorical purpose.
22:16|They sent their disciples to him with the Herodians. “Teacher,” they said, “we know you are truthful and teach God’s way truthfully. You are not swayed by anyone, because you do not judge by appearances.|Renders face-looking idiom naturally while preserving their flattery.
22:17|So tell us what you think: Is it permitted to pay tribute to Caesar or not?”|Keeps the legal question and Roman recipient.
22:18|Jesus knew their malice. “Why are you testing me, hypocrites?” he asked.|Preserves narrator’s motive statement and direct rebuke.
22:19|“Show me the coin used for the tribute.” They brought him a denarius.|Keeps the requested object and precise denomination.
22:20|He asked them, “Whose image and inscription are these?”|Retains both identifying features.
22:21|“Caesar’s,” they answered. Then he told them, “Give back to Caesar what belongs to Caesar, and to God what belongs to God.”|Keeps give-back force and the parallel claims without a political system added.
22:22|When they heard this, they were amazed. They left him and went away.|Preserves the actual response and withdrawal.
22:23|That same day Sadducees, who say there is no resurrection, approached him and asked,|Keeps the relevant belief attributed to this group.
22:24|“Teacher, Moses said that if a man dies without children, his brother must marry the widow and raise offspring for his brother.|Preserves the brother’s duty and lineage purpose.
22:25|There were seven brothers among us. The first married and died without offspring, leaving his wife to his brother.|Keeps the hypothetical family’s number and sequence.
22:26|The same happened to the second and third, and on through all seven.|Preserves repetition compressed by the source.
22:27|After all of them, the woman died.|Keeps her death last in sequence.
22:28|So in the resurrection, whose wife will she be of the seven? All of them had married her.”|Preserves the legal puzzle without treating the woman as an object in English.
22:29|Jesus answered them, “You are mistaken, because you know neither the Scriptures nor God’s power.|Keeps the two stated failures.
22:30|In the resurrection people neither marry nor are given in marriage. They are like God’s angels in heaven.|Retains simile rather than saying humans become angels.
22:31|And about the resurrection of the dead, haven’t you read what God said to you:|Preserves the striking to-you address of Scripture.
22:32|‘I am the God of Abraham, the God of Isaac, and the God of Jacob’? He is God of the living, not of the dead.”|Keeps three repeated titles and the life/death contrast.
22:33|The crowds heard this and were astonished at his teaching.|Retains teaching as the object of astonishment.
22:34|When the Pharisees heard that he had silenced the Sadducees, they gathered together.|Preserves the narrative link between exchanges.
22:35|One of them, an expert in the Law, tested him with a question:|Keeps expertise and testing purpose.
22:36|“Teacher, which commandment is greatest in the Law?”|Renders great contextually as a ranking question.
22:37|He answered, “‘Love the Lord your God with all your heart, all your soul, and all your mind.’|Keeps all three faculties and repeated totality without adding strength.
22:38|This is the greatest and first commandment.|Retains both priority terms.
22:39|A second is like it: ‘Love your neighbor as yourself.’|Keeps likeness and self-comparison.
22:40|The whole Law and the Prophets hang on these two commandments.”|Preserves the hanging image and comprehensive scope.
22:41|While the Pharisees were gathered, Jesus asked them,|Keeps the reversal to Jesus as questioner.
22:42|“What do you think about the Messiah? Whose son is he?” “David’s,” they answered.|Preserves Messiah and the lineage question.
22:43|He asked them, “How then does David, speaking in the Spirit, call him Lord? He says,|Keeps Spirit attribution and the posed tension.
22:44|‘The Lord said to my Lord,\n“Sit at my right hand\nuntil I put your enemies beneath your feet.”’|Preserves two Lords, right-hand position, and pinned beneath rather than footstool.
22:45|If David calls him Lord, how is he his son?”|Retains the unanswered interpretive question.
22:46|No one could answer him a word. From that day on, no one dared question him any further.|Keeps both immediate silence and subsequent cessation.
23:1|Then Jesus spoke to the crowds and to his disciples:|Preserves both audiences before the direct denunciation.
23:2|“The scribes and Pharisees have taken their seat in Moses’s chair.|Keeps the teaching-authority image rather than assigning an unmentioned office.
23:3|So do and observe everything they tell you, but do not act as they act. They speak but do not do.|Preserves the difficult positive instruction alongside the criticism of conduct.
23:4|They tie up heavy loads and put them on people’s shoulders, but will not move them with their own finger.|Retains bodily burden imagery without an absent extra adjective.
23:5|They do everything to be seen by people. They make their phylacteries broad and their garment fringes long.|Keeps specific practices for vocabulary explanation and the stated display motive.
23:6|They love the place of honor at dinners and the front seats in synagogues,|Preserves both settings and sought positions.
23:7|greetings in the marketplaces, and being called ‘Rabbi’ by people.|Keeps title and public recognition.
23:8|But you must not be called ‘Rabbi,’ for you have one teacher, and you are all brothers and sisters.|Renders community sibling language inclusively while retaining the one-teacher claim.
23:9|And call no one on earth your father, for you have one Father, the heavenly one.|Keeps the force of the saying without embedding an exception.
23:10|Nor are you to be called instructors, for you have one instructor, the Messiah.|Distinguishes this title from teacher and retains Messiah.
23:11|The greatest among you will be your servant.|Keeps future formulation and greatness/service reversal.
23:12|Whoever exalts themselves will be humbled, and whoever humbles themselves will be exalted.|Preserves both passive reversals without naming an unstated agent.
23:13|“Woe to you, scribes and Pharisees, hypocrites! You shut the kingdom of heaven in people’s faces. You do not enter yourselves, and you do not let those trying to enter go in.|Retains the door image and both failures without adding absent verse14.
23:15|“Woe to you, scribes and Pharisees, hypocrites! You travel over sea and land to make one convert, and when you do, you make that person twice as much a child of Gehenna as yourselves.|Keeps travel, one convert, doubled judgment, and family metaphor.
23:16|“Woe to you, blind guides! You say, ‘If anyone swears by the sanctuary, it means nothing; but if anyone swears by the sanctuary’s gold, the oath is binding.’|Distinguishes sanctuary from wider temple and preserves the quoted rule.
23:17|Blind fools! Which is greater: the gold, or the sanctuary that made the gold holy?|Keeps the sharp address and source of holiness.
23:18|You also say, ‘If anyone swears by the altar, it means nothing; but if anyone swears by the gift on it, the oath is binding.’|Preserves the parallel disputed rule.
23:19|Blind people! Which is greater: the gift, or the altar that makes the gift holy?|Follows the pinned shorter address and repeats the sanctifying relation.
23:20|So whoever swears by the altar swears by it and by everything on it.|Keeps the inclusive oath implication.
23:21|Whoever swears by the sanctuary swears by it and by the one who dwells in it.|Preserves dwelling without replacing the personal referent with an abstraction.
23:22|And whoever swears by heaven swears by God’s throne and by the one seated on it.|Keeps throne and enthroned person distinct in the image.
23:23|“Woe to you, scribes and Pharisees, hypocrites! You tithe mint, dill, and cumin, but have neglected the weightier matters of the Law: justice, mercy, and faithfulness. You should have practiced these without neglecting the others.|Retains all herbs, three virtues, and the nonexclusive conclusion.
23:24|Blind guides! You strain out a gnat but swallow a camel.|Keeps the deliberately absurd size contrast.
23:25|“Woe to you, scribes and Pharisees, hypocrites! You clean the outside of the cup and dish, but inside they are full of plunder and self-indulgence.|Follows pinned akrasia and preserves the image’s moral contents.
23:26|Blind Pharisee! First clean the inside of the cup and dish, so that its outside may become clean too.|Keeps singular addressee, printed dish, and inside-before-outside sequence.
23:27|“Woe to you, scribes and Pharisees, hypocrites! You are like whitewashed tombs, beautiful on the outside but full of dead people’s bones and every kind of uncleanness within.|Preserves beauty/death contrast and ritual language.
23:28|In the same way, you appear righteous to people on the outside, but inside you are full of hypocrisy and lawlessness.|Keeps the explicit interpretation of the tomb image.
23:29|“Woe to you, scribes and Pharisees, hypocrites! You build the prophets’ tombs and decorate the monuments of the righteous,|Preserves both commemorative activities.
23:30|and say, ‘If we had lived in our ancestors’ days, we would not have shared with them in shedding the prophets’ blood.’|Keeps their counterfactual moral claim and blood imagery.
23:31|So you testify against yourselves that you are descendants of those who murdered the prophets.|Preserves the familial accusation as Jesus’ rhetorical argument.
23:32|You too—fill up the measure of your ancestors!|Retains the biting imperative and measure image without softening to prediction.
23:33|Snakes! Brood of vipers! How will you escape the judgment of Gehenna?|Keeps both insults and the rhetorical judgment question.
23:34|That is why I am sending you prophets, wise people, and scribes. Some you will kill and crucify; others you will flog in your synagogues and persecute from town to town.|Preserves all three sent groups and concrete forms of violence.
23:35|So all the righteous blood shed on earth will come upon you, from the blood of righteous Abel to the blood of Zechariah son of Berechiah, whom you murdered between the sanctuary and the altar.|Keeps the difficult patronymic exactly rather than harmonizing to another Zechariah.
23:36|Truly I tell you, all these things will come upon this generation.|Preserves this generation as the explicit scope.
23:37|“Jerusalem, Jerusalem! You kill the prophets and stone those sent to you. How often I wanted to gather your children as a hen gathers her chicks beneath her wings, but you were unwilling!|Retains doubled city name, maternal image, and competing wills.
23:38|Look, your house is left to you deserted.|Follows pinned deserted and leaves house’s referent open.
23:39|For I tell you, from now on you will not see me until you say, ‘Blessed is the one who comes in the Lord’s name.’”|Keeps the temporal qualification and exact earlier acclamation.
