25:1|The word of the LORD came to me:|Retains the repeated word-event formula.
47:23|In whatever tribe a resident foreigner lives, there you must give that person an inheritance, declares the Lord GOD.”|Keeps local tribal inheritance entitlement.
48:1|“These are the tribes’ names. At the northern end, along the road to Hethlon, Lebo-hamath, and Hazar-enan on Damascus’s northern border beside Hamath, Dan will have one portion, extending from east to west.|Keeps first tribe, northern boundary and east-west span.
48:2|Along Dan’s boundary, from east to west: Asher, one portion.|Preserves repeated allotment formula and sequence.
48:3|Along Asher’s boundary, from east to west: Naphtali, one portion.|Keeps Naphtali immediately after Asher.
48:4|Along Naphtali’s boundary, from east to west: Manasseh, one portion.|Preserves Manasseh's position.
48:5|Along Manasseh’s boundary, from east to west: Ephraim, one portion.|Keeps Joseph's second tribal allotment distinct.
48:6|Along Ephraim’s boundary, from east to west: Reuben, one portion.|Preserves Reuben's place in order.
48:7|Along Reuben’s boundary, from east to west: Judah, one portion.|Keeps Judah next to sacred strip.
48:8|“Along Judah’s boundary, from east to west, will be the contribution you set apart: twenty-five thousand wide, as long as one tribal portion from east to west. The sanctuary will be within it.|Retains strip width and internal sanctuary.
48:9|The contribution you set apart for the LORD will be twenty-five thousand long and ten thousand wide.|Keeps sacred portion dimensions distinct from full strip.
48:10|This holy contribution will belong to the priests: twenty-five thousand on the north, ten thousand wide on the west, ten thousand wide on the east, and twenty-five thousand long on the south. The LORD’s sanctuary will be within it.|Preserves all four directional dimensions.
48:11|It is for the consecrated priests descended from Zadok, who kept my charge and did not stray when the Israelites strayed as the Levites did.|Keeps lineage and contrast of conduct.
48:12|It will be their special contribution from the land’s contribution, a most holy portion beside the Levites’ boundary.|Retains most-holy status and adjacent Levites.
48:13|“Alongside the priests’ territory, the Levites will have twenty-five thousand in length and ten thousand in width. Its full length will be twenty-five thousand and its width ten thousand.|Preserves repeated dimensions rather than compressing.
48:14|They must not sell or exchange any of it, nor transfer this choice land to others, because it is holy to the LORD.|Keeps three restrictions and holy rationale.
48:15|“The remaining strip, five thousand wide and twenty-five thousand long, will be common land for the city, for houses and open land. The city will stand in its center.|Preserves common versus holy distinction.
48:16|These are the city’s dimensions: four thousand five hundred on the north, four thousand five hundred on the south, four thousand five hundred on the east, and four thousand five hundred on the west.|Follows read omission of duplicated five; preserves four sides.
48:17|The city’s open land will extend two hundred fifty to the north, two hundred fifty to the south, two hundred fifty to the east, and two hundred fifty to the west.|Keeps four explicit margins.
48:18|The remaining length beside the holy contribution will be ten thousand to the east and ten thousand to the west, alongside the holy contribution. Its produce will provide food for the city’s workers.|Preserves paired agricultural strips and purpose.
48:19|The city’s workers from all Israel’s tribes will cultivate it.|Keeps all-tribes participation.
48:20|The entire contribution will be twenty-five thousand by twenty-five thousand. Set apart this square as the holy contribution together with the city’s possession.|Preserves complete square including common city portion.
48:21|“What remains on either side of the holy contribution and the city’s possession belongs to the prince. From the contribution’s twenty-five-thousand length to the eastern boundary, and westward from its twenty-five-thousand length to the western boundary, alongside the tribal portions, it belongs to the prince. The holy contribution and the temple sanctuary will be within it.|Keeps long boundary description and central holy area.
48:22|The Levites’ possession and the city’s possession will lie within the prince’s land. The land between Judah’s boundary and Benjamin’s boundary will belong to the prince.|Keeps exclusions located within ruler's broader strip.
48:23|“For the remaining tribes, from east to west: Benjamin, one portion.|Marks southern allotments beginning with Benjamin.
48:24|Along Benjamin’s boundary, from east to west: Simeon, one portion.|Preserves Simeon's position.
48:25|Along Simeon’s boundary, from east to west: Issachar, one portion.|Keeps repeated formula and Issachar.
48:26|Along Issachar’s boundary, from east to west: Zebulun, one portion.|Preserves Zebulun next to Gad.
48:27|Along Zebulun’s boundary, from east to west: Gad, one portion.|Keeps final tribe and span.
48:28|Along Gad’s boundary on the south, the border runs from Tamar to the waters of Meribath-kadesh, then along the Wadi to the Great Sea.|Preserves repeated southern boundary.
48:29|This is the land you must allot as an inheritance to Israel’s tribes, and these are their portions, declares the Lord GOD.|Keeps concluding allotment declaration.
48:30|“These are the city’s exits. The north side measures four thousand five hundred.|Introduces gates with side measurement.
48:31|The city’s gates will bear the names of Israel’s tribes. Three gates will face north: one for Reuben, one for Judah, and one for Levi.|Preserves Levi among gates though no tribal strip.
48:32|The east side measures four thousand five hundred, with three gates: one for Joseph, one for Benjamin, and one for Dan.|Keeps Joseph as single gate name.
48:33|The south side measures four thousand five hundred, with three gates: one for Simeon, one for Issachar, and one for Zebulun.|Preserves southern gate order.
48:34|The west side measures four thousand five hundred, with three gates: one for Gad, one for Asher, and one for Naphtali.|Keeps western gate order.
48:35|The distance all around is eighteen thousand. From that day the city’s name will be ‘The LORD Is There.’”|Preserves perimeter and climactic presence name.
